"filename", "language", "XML", "YAML", "C#", "MS SQL", "comment", "blank", "total"
"c:\Users\darli\RiderProjects\kir1l9x\Entities\Users\User.cs", "C#", 0, 0, 90, 0, 0, 19, 109
"c:\Users\darli\RiderProjects\kir1l9x\Entities\Users\UserRole.cs", "C#", 0, 0, 13, 0, 0, 5, 18
"c:\Users\darli\RiderProjects\kir1l9x\Interfaces\Interfaces.csproj", "XML", 10, 0, 0, 0, 0, 4, 14
"c:\Users\darli\RiderProjects\kir1l9x\Interfaces\Repositories\IAccountsRepository.cs", "C#", 0, 0, 13, 0, 0, 9, 22
"c:\Users\darli\RiderProjects\kir1l9x\Interfaces\Repositories\IAuditLogRepository.cs", "C#", 0, 0, 10, 0, 0, 6, 16
"c:\Users\darli\RiderProjects\kir1l9x\Interfaces\Repositories\ITransactionsRepository.cs", "C#", 0, 0, 10, 0, 0, 6, 16
"c:\Users\darli\RiderProjects\kir1l9x\Interfaces\Repositories\IUsersRepository.cs", "C#", 0, 0, 11, 0, 0, 7, 18
"c:\Users\darli\RiderProjects\kir1l9x\ServiceControllers\Extensions\ServicesCollectionExtensions.cs", "C#", 0, 0, 23, 0, 0, 3, 26
"c:\Users\darli\RiderProjects\kir1l9x\ServiceControllers\ServiceControllers.csproj", "XML", 16, 0, 0, 0, 0, 5, 21
"c:\Users\darli\RiderProjects\kir1l9x\ServiceControllers\UserController.cs", "C#", 0, 0, 513, 0, 0, 90, 603
"c:\Users\darli\RiderProjects\kir1l9x\Services\Accounts\AccountService.cs", "C#", 0, 0, 101, 0, 0, 20, 121
"c:\Users\darli\RiderProjects\kir1l9x\Services\AuditLogs\AuditLogService.cs", "C#", 0, 0, 53, 0, 0, 10, 63
"c:\Users\darli\RiderProjects\kir1l9x\Services\Services.csproj", "XML", 12, 0, 0, 0, 0, 4, 16
"c:\Users\darli\RiderProjects\kir1l9x\Services\Transactions\TransactionService.cs", "C#", 0, 0, 59, 0, 0, 10, 69
"c:\Users\darli\RiderProjects\kir1l9x\Services\Users\CurrentUserService.cs", "C#", 0, 0, 6, 0, 0, 2, 8
"c:\Users\darli\RiderProjects\kir1l9x\Services\Users\UserService.cs", "C#", 0, 0, 114, 0, 0, 21, 135
"c:\Users\darli\RiderProjects\kir1l9x\docker-compose.yml", "YAML", 0, 16, 0, 0, 0, 3, 19
"c:\Users\darli\RiderProjects\kir1l9x\init.sql", "MS SQL", 0, 0, 0, 64, 7, 14, 85
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab1\Ensures\Ensure.cs", "C#", 0, 0, 18, 0, 0, 2, 20
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab1\Interfaces\IMovableObject.cs", "C#", 0, 0, 8, 0, 0, 3, 11
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab1\Interfaces\IPartOfPathway.cs", "C#", 0, 0, 7, 0, 0, 2, 9
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab1\Lab1.csproj", "XML", 9, 0, 0, 0, 0, 4, 13
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab1\Objects\MovableObjects\Train.cs", "C#", 0, 0, 76, 0, 0, 22, 98
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab1\Objects\StaticObjects\CommonRail.cs", "C#", 0, 0, 45, 0, 0, 12, 57
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab1\Objects\StaticObjects\ForcedRail.cs", "C#", 0, 0, 56, 0, 0, 15, 71
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab1\Objects\StaticObjects\Route.cs", "C#", 0, 0, 21, 0, 0, 7, 28
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab1\Objects\StaticObjects\Station.cs", "C#", 0, 0, 34, 0, 0, 11, 45
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab1\ResultTypes\PassingResult.cs", "C#", 0, 0, 33, 0, 0, 8, 41
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\ContextData.cs", "C#", 0, 0, 10, 0, 0, 6, 16
"c:\Users\darli\RiderProjects\kir1l9x\src\Lab2\Controller.cs", "C#", 0, 0, 35, 0, 0, 11, 46
